video_title,author,comment_text
I bought the CHEAPEST Tech in India!,@Mrwhosetheboss,Who here is from India!? 🇮🇳
I bought the CHEAPEST Tech in India!,@Lady8D,"Inaccurate pulse/ox - that cld cost lives &amp;/or brain cells. Tho if you depend on something you&#39;ve not tested for accuracy, you prob don&#39;t have many to spare"
I bought the CHEAPEST Tech in India!,@ganeshkarthikbhanupanthula1451,Dude is that Hindi which u just spoke to that guy . If it&#39;s Hindi why am I not able to understand it.😢😢
I bought the CHEAPEST Tech in India!,@user-lx4dh1lo2f,I must say roti reqiures salt😂😂😂
I bought the CHEAPEST Tech in India!,@RohitSaini-oo7nd,Guruji be like : Just  kidding guys products ke pese mene hi diye the 😂
I bought the CHEAPEST Tech in India!,@holyLgame0143,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1347"">22:27</a>- No it’s accurate, the table actually breathes and has good blood oxygen rates."
I bought the CHEAPEST Tech in India!,@mariamiqbal5128,Bro was at chor bazar
I bought the CHEAPEST Tech in India!,@KUNAL-kr9pf,You paid too much for those!!!
I bought the CHEAPEST Tech in India!,@srujanareddygg,take ur socks off
I bought the CHEAPEST Tech in India!,@munacooolhunk,The best thing he liked is the Phonepe speaker 😂
I bought the CHEAPEST Tech in India!,@lixonav09,meeee
I bought the CHEAPEST Tech in India!,@ankitsonariya918,"That roti is so undercooked, it would qualify as a minor"
I bought the CHEAPEST Tech in India!,@nasflix_2.0,Sadly it&#39;s all imported from China 😢
I bought the CHEAPEST Tech in India!,@nasflix_2.0,"But roads and buildings, it&#39;s government&#39;s fault.. right??"
I bought the CHEAPEST Tech in India!,@Mythicalscholars1211,Giruji kaise pohoch gye wha
I bought the CHEAPEST Tech in India!,@JitenderMohla,Me
I bought the CHEAPEST Tech in India!,@Dwayne160,scam machine 9000
I bought the CHEAPEST Tech in India!,@mxssjk5417,see guys instead of temu or shein just come to India’s cheap marketing
I bought the CHEAPEST Tech in India!,@aryasurya6611,Meeeeee🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
I bought the CHEAPEST Tech in India!,@98-carlmarkmarak22,those fake companies could start their own brand and still be successful
I bought the CHEAPEST Tech in India!,@alirehman2001,Thanks to china for making all these stuff
I bought the CHEAPEST Tech in India!,@zirconium5849,The file was recorded on the &quot;1st January 1970&quot; because computers use Unix timestamps to represent time which is the seconds since the 1st January 1970 so the device evidently just set it to zero.
I bought the CHEAPEST Tech in India!,@txdff99,Hhllo
I bought the CHEAPEST Tech in India!,@MDAhnafAbrarNirjon,Who are from Bangladesh.. ❤🇧🇩
I bought the CHEAPEST Tech in India!,@Otaku_Gamer_Verse,Jugaad 😂😂😂 was crazy
I bought the CHEAPEST Tech in India!,@user-nj2jl2cv2k,poli machaaa
I bought the CHEAPEST Tech in India!,@nalenitiwari3571,Imitation can be just as good just saying 😂
I bought the CHEAPEST Tech in India!,@SasithNuwantha,What is the name of the market they are visiting?
I bought the CHEAPEST Tech in India!,@TrolFace09,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1008"">16:48</a> the poor man in the background"
I bought the CHEAPEST Tech in India!,@vishnupriyan6269,"this tech guruji does&#39;nt post truth about tech content, if he gets promotion from an company, he will post more lies than the ones in company&#39;s script"
I bought the CHEAPEST Tech in India!,@het2shah,Thats white price
I bought the CHEAPEST Tech in India!,@bss_official,That superman headset is used one
I bought the CHEAPEST Tech in India!,@rohitbanerjee30,Dude you unknowingly disrespected our country by making a bag out of our flag 🫤
I bought the CHEAPEST Tech in India!,@ShivratanSinghRajvi,Bro took all brand deals in once.
I bought the CHEAPEST Tech in India!,@ryanchattha,Funfact that most of them are made in china 🤦🏼
I bought the CHEAPEST Tech in India!,@harjeetlall2333,and me :)
I bought the CHEAPEST Tech in India!,@maya9205,Me
I bought the CHEAPEST Tech in India!,@brookyblade4456,Can you do pakistan
I bought the CHEAPEST Tech in India!,@SAANS52,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=525"">8:45</a> what happened to the eyes"
I bought the CHEAPEST Tech in India!,@muhammadkhawar5721,80% chinees made products😂
I bought the CHEAPEST Tech in India!,@dandyhowtos4501,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=179"">2:59</a> no its china i know cuz im chinese"
I bought the CHEAPEST Tech in India!,@swagatamdey,Watching on a lava agni 2
I bought the CHEAPEST Tech in India!,@cherryanngole8254,If youtube comment here im happy
I bought the CHEAPEST Tech in India!,@jasbirrana9434,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> 👎"
I bought the CHEAPEST Tech in India!,@arkapravadatta7178,What Hindi is that
I bought the CHEAPEST Tech in India!,@EtiSuryani-gj8zb,Like
I bought the CHEAPEST Tech in India!,@vishnukailash21,Me
I bought the CHEAPEST Tech in India!,@dotpngpic,&quot;Kitna&quot; seems to be the extent of Arun&#39;s hindi. 😂😂
I bought the CHEAPEST Tech in India!,@AnavGupta-p6c,loved this
I bought the CHEAPEST Tech in India!,@yogbharati09,me
I bought the CHEAPEST Tech in India!,@yogbharati09,dcgydcwvvycqehubcqdbwuwhjdwc
I bought the CHEAPEST Tech in India!,@user-qf3vm3sn3n,It&#39;s mee
I bought the CHEAPEST Tech in India!,@Megat_09,Try coming to Malaysia
I bought the CHEAPEST Tech in India!,@ExploringForPeace,Why r u colabrating with the fool Technical gurujiiii the scamster
I bought the CHEAPEST Tech in India!,@RoshanKumar-ni4sd,Is this a roasting video??
I bought the CHEAPEST Tech in India!,@leapmasters7929,u got scammed all of that shouldnt be over 30 dollars
I bought the CHEAPEST Tech in India!,@ORANGE_YT_100K,Me
I bought the CHEAPEST Tech in India!,@dynamicsforyou4220,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=70"">1:10</a> tecnical guruji 😱❤"
I bought the CHEAPEST Tech in India!,@anuraaggandluru,जय हिन्द
I bought the CHEAPEST Tech in India!,@scarx3423,10 Days 10 Subscriber Challenge!!<br>I&#39;m starting a Challenge where I&#39;ll get subscribers without uploading a single video and this is Day 1 Let&#39;s go guys...!!!
I bought the CHEAPEST Tech in India!,@ikablog3989,@mrwhosetheboss Surf shark promo did not work
I bought the CHEAPEST Tech in India!,@liderabu7016,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=754"">12:34</a>  this airpods 8$ UZBEKISTAN🤑"
I bought the CHEAPEST Tech in India!,@kataomoiwazurai,not the air force jordan dunks
